date,price
2024-01-01,2205
2024-01-02,2145
2024-01-03,2247
2024-01-04,2407
2024-01-05,2250
2024-01-06,2380
2024-01-07,2373
2024-01-08,2229
2024-01-09,2369
2024-01-10,2453
2024-01-11,2359
2024-01-12,2405
2024-01-13,2547
2024-01-14,2539
2024-01-15,2458
2024-01-16,2606
2024-01-17,2771
2024-01-18,2847
2024-01-19,2698
2024-01-20,2857
2024-01-21,2812
2024-01-22,2725
2024-01-23,2699
2024-01-24,2822
2024-01-25,2638
2024-01-26,2691
2024-01-27,2541
2024-01-28,2506
2024-01-29,2490
2024-01-30,2590
2024-01-31,2789
2024-02-01,2724
2024-02-02,2751
2024-02-03,2816
2024-02-04,2873
2024-02-05,2820
2024-02-06,2639
2024-02-07,2779
2024-02-08,2720
2024-02-09,2807
2024-02-10,2859
2024-02-11,2764
2024-02-12,2961
2024-02-13,2896
2024-02-14,2877
2024-02-15,2845
2024-02-16,2931
2024-02-17,2932
2024-02-18,2805
2024-02-19,2931
2024-02-20,3099
2024-02-21,3116
2024-02-22,3180
2024-02-23,3133
2024-02-24,3187
2024-02-25,3217
2024-02-26,3407
2024-02-27,3282
2024-02-28,3338
2024-02-29,3526
2024-03-01,3477
2024-03-02,3459
2024-03-03,3436
2024-03-04,3477
2024-03-05,3440
2024-03-06,3570
2024-03-07,3755
2024-03-08,3928
2024-03-09,3779
2024-03-10,3871
2024-03-11,3809
2024-03-12,3911
2024-03-13,3846
2024-03-14,3866
2024-03-15,4030
2024-03-16,4072
2024-03-17,4026
2024-03-18,4029
2024-03-19,4017
2024-03-20,4026
2024-03-21,4091
2024-03-22,4233
2024-03-23,4050
2024-03-24,4027
2024-03-25,4059
2024-03-26,3935
2024-03-27,3801
2024-03-28,3626
2024-03-29,3652
2024-03-30,3701
2024-03-31,3796
2024-04-01,3701
2024-04-02,3705
2024-04-03,3589
2024-04-04,3437
2024-04-05,3621
2024-04-06,3795
2024-04-07,3893
2024-04-08,3741
2024-04-09,3892
2024-04-10,4078
2024-04-11,3964
2024-04-12,3846
2024-04-13,3726
2024-04-14,3854
2024-04-15,3904
2024-04-16,3952
2024-04-17,3904
2024-04-18,4063
2024-04-19,4195
2024-04-20,4117
2024-04-21,4272
2024-04-22,4246
2024-04-23,4051
2024-04-24,4129
2024-04-25,3931
2024-04-26,4062
2024-04-27,3869
2024-04-28,4001
2024-04-29,3881
2024-04-30,3801
2024-05-01,3954
2024-05-02,3850
2024-05-03,3827
2024-05-04,3694
2024-05-05,3592
2024-05-06,3542
2024-05-07,3546
2024-05-08,3424
2024-05-09,3557
2024-05-10,3711
2024-05-11,3711
2024-05-12,3536
2024-05-13,3414
2024-05-14,3437
2024-05-15,3531
2024-05-16,3565
2024-05-17,3532
2024-05-18,3707
2024-05-19,3862
2024-05-20,3953
2024-05-21,4042
2024-05-22,4095
2024-05-23,3943
2024-05-24,4131
2024-05-25,4170
2024-05-26,4188
2024-05-27,4310
2024-05-28,4159
2024-05-29,4335
2024-05-30,4415
2024-05-31,4367
2024-06-01,4272
2024-06-02,4339
2024-06-03,4417
2024-06-04,4407
2024-06-05,4490
2024-06-06,4471
2024-06-07,4451
2024-06-08,4351
2024-06-09,4479
2024-06-10,4472
2024-06-11,4483
2024-06-12,4327
2024-06-13,4152
2024-06-14,4298
2024-06-15,4173
2024-06-16,4338
2024-06-17,4499
2024-06-18,4502
2024-06-19,4449
2024-06-20,4303
2024-06-21,4186
2024-06-22,4005
2024-06-23,3914
2024-06-24,3886
2024-06-25,3726
2024-06-26,3543
2024-06-27,3643
2024-06-28,3817
2024-06-29,3711
2024-06-30,3602
2024-07-01,3512
2024-07-02,3547
2024-07-03,3735
2024-07-04,3916
2024-07-05,3888
